OfficeLineId,Direction,LineAlternative,StationId,StationOrder
9630,2581302,25,10860,1
9630,2581303,25,10860,1
9630,2581304,25,10860,1
9630,2581305,25,10860,1
9630,2581306,25,10860,1
9630,2581307,25,10860,1
9630,2581308,25,10860,1
9630,2581309,25,10860,1
9630,2581310,25,10860,1
9630,2581311,25,10860,1
9630,2581312,25,10860,1
9630,2581313,25,10860,1
9630,2581314,25,10860,1
9630,2581315,25,10860,1
9630,2581316,25,10860,1
9630,2581317,25,10860,1
9630,2581318,25,10860,1
9630,2581319,25,10860,1
9630,2581320,25,10860,1
9630,2581321,25,10860,1
9630,2581322,25,10860,1
9630,2581323,25,10860,1
9630,2581324,25,10860,2
9630,2581325,25,10860,2
9630,2581326,25,10860,2
9630,2581327,25,10860,2
9630,2581328,25,10860,2
9630,2581329,25,10860,2
9630,2581330,25,10860,2
9630,2581331,25,10860,2
9630,2581332,25,10860,2
9630,2581333,25,10860,2
9630,2581334,25,10860,2
9630,2581335,25,10860,2
9630,2581336,25,10860,2
9630,2581337,25,10860,2
9630,2581338,25,10860,2
9630,2581339,25,10860,2
9630,2581205,25,11276,1
9630,2581206,25,11276,1
9630,2581207,25,11276,1
9630,2581208,25,11276,1
9630,2581209,25,11276,1
9630,2581210,25,11276,1
9630,2581211,25,11276,1
9630,2581212,25,11276,1
9630,2581213,25,11276,1
9630,2581214,25,11276,1
9630,2581215,25,11276,1
9630,2581216,25,11276,1
9630,2581217,25,11276,1
9630,2581218,25,11276,1
9630,2581219,25,11276,1
9630,2581220,25,11276,1
9630,2581221,25,11276,1
9630,2581222,25,11276,1
9630,2581223,25,11276,1
9630,2581224,25,11276,1
9630,2581225,25,11276,1
9630,2581226,25,11276,1
9630,2581227,25,11276,1
9630,2581228,25,11276,1
9630,2581229,25,11276,1
9630,2581230,25,11276,1
9630,2581231,25,11276,1
9630,2581232,25,11276,1
9630,2581233,25,11276,1
9630,2581234,25,11276,1
9630,2581235,25,11276,1
9630,2581236,25,11276,1
9630,2581237,25,11276,1
9630,2581238,25,11276,1
9630,2581239,25,11276,1
9630,2581240,25,11276,1
9630,2581241,25,11276,1
9630,2581242,25,11276,1
9630,2581243,25,11276,1
9630,2581244,25,11276,1
9630,2581245,25,11276,1
9630,2581246,25,11276,1
9630,2581247,25,11276,2
9630,2581248,25,11276,2
9630,2581249,25,11276,2
9630,2581250,25,11276,2
9630,2581251,25,11276,2
9630,2581252,25,11276,2
9630,2581253,25,11276,2
9630,2581254,25,11276,2
9630,2581255,25,11276,2
9630,2581256,25,11276,2
9630,2581257,25,11276,2
9630,2581258,25,11276,2
9630,2581259,25,11276,2
9630,2581260,25,11276,2
9630,2581261,25,11276,2
9630,2581262,25,11276,2
9630,2581263,25,11276,2
9630,2581264,25,11276,2
9630,2581265,25,11276,2
9630,2581266,25,11276,2
9630,2581267,25,11276,2
9630,2581268,25,11276,2
9630,2581269,25,11276,2
9630,2581270,25,11276,2
9630,2581271,25,11276,2
9630,2581272,25,11276,2
9630,2581273,25,11276,2
9630,2581274,25,11276,2
9630,2581275,25,11276,2
9630,2581276,25,11276,2
9630,2581277,25,11276,2
9630,2581278,25,11276,2
9630,2581279,25,11276,2
9630,2581280,25,11276,2
9630,2581281,25,11276,2
9630,2581282,25,11276,2
9630,2581283,25,11276,2
9630,2581284,25,11276,2
9630,2581285,25,11276,2
9630,2581286,25,11276,2
9630,2581287,25,11276,2
9630,2581288,25,11276,2
9630,2581289,25,11276,2
9630,2581290,25,11276,2
9630,2581291,25,11276,2
9630,2581292,25,11276,2
9630,2581293,25,11276,2
9630,2581294,25,11276,2
9630,2581295,25,11276,2
9630,2581296,25,11276,2
9630,2581297,25,11276,2
9630,2581298,25,11276,2
9630,2581299,25,11276,2
9630,2581300,25,11276,2
9630,2581301,25,11276,2
