OrderId,Longitude,Latitude
1,35.202678,31.789484
2,35.202685,31.789489
3,35.202715,31.789519
4,35.202733,31.789552
5,35.20274,31.789587
6,35.202734,31.78962
8,35.20272,31.789648
9,35.202676,31.789692
10,35.202659,31.789701
11,35.202646,31.789709
12,35.2026,31.789724
13,35.202563,31.78973
14,35.202512,31.789731
15,35.202474,31.789726
16,35.202428,31.789711
17,35.202201,31.789863
18,35.201824,31.790117
19,35.201483,31.790363
20,35.201166,31.790671
21,35.201143,31.790695
22,35.201321,31.790809
23,35.201539,31.790886
24,35.201748,31.790927
25,35.202123,31.790911
26,35.202617,31.790911
27,35.202765,31.790943
28,35.202964,31.791
29,35.203159,31.791093
30,35.203372,31.791259
31,35.203491,31.791401
32,35.203603,31.791571
33,35.203662,31.791661
34,35.203952,31.792091
35,35.204104,31.792245
36,35.204227,31.792314
37,35.204322,31.792362
38,35.204464,31.792399
39,35.204602,31.792419
40,35.204735,31.792411
41,35.204954,31.792346
42,35.205533,31.792122
43,35.205528,31.792104
44,35.205527,31.792092
45,35.205528,31.792074
46,35.205533,31.792056
47,35.205542,31.792039
48,35.205555,31.792024
49,35.20557,31.792012
50,35.205588,31.792002
51,35.205608,31.791995
52,35.205629,31.791991
53,35.205651,31.791991
54,35.205665,31.791992
55,35.205685,31.791998
56,35.205704,31.792006
57,35.205721,31.792018
58,35.205731,31.792027
59,35.205936,31.791941
60,35.206198,31.791892
61,35.20634,31.791884
62,35.206563,31.791892
63,35.20682,31.791945
64,35.207521,31.792172
65,35.207945,31.79231
66,35.208203,31.792389
67,35.208377,31.792444
68,35.208523,31.792463
69,35.208604,31.792467
70,35.208823,31.79248
71,35.208998,31.792471
72,35.209441,31.792448
73,35.209868,31.79237
74,35.210105,31.792322
75,35.210368,31.792268
76,35.210462,31.792248
77,35.210576,31.792225
78,35.210756,31.792188
79,35.211079,31.792143
80,35.21135,31.792139
81,35.211782,31.792155
82,35.212242,31.792241
83,35.212561,31.79235
84,35.212632,31.792381
85,35.213083,31.792577
86,35.213401,31.792756
87,35.214071,31.793185
88,35.214218,31.793263
89,35.214465,31.793368
90,35.214916,31.793498
91,35.215222,31.793608
92,35.215276,31.793627
93,35.215546,31.793725
94,35.215794,31.793814
95,35.216041,31.793903
96,35.216446,31.794046
97,35.217189,31.794308
98,35.217361,31.794369
99,35.217825,31.79457
100,35.217875,31.794598
101,35.21814,31.794751
102,35.218813,31.79513
103,35.219385,31.795452
104,35.219831,31.795668
105,35.219928,31.795714
106,35.220221,31.795843
107,35.220249,31.795857
108,35.220714,31.79604
109,35.221089,31.796166
110,35.221243,31.796195
111,35.22146,31.796235
112,35.221711,31.796299
113,35.221878,31.796352
114,35.222082,31.796466
115,35.222229,31.796648
116,35.22232,31.796803
117,35.222448,31.797021
118,35.222462,31.79705
119,35.222676,31.797479
